=== RESULTS FOR FILE: 1-I.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
lvhp_time,20.24,20.2,0.04,0.22%
lvhp_percent,22.09,22.1,0.01,0.05%
lvmp_time,10.24,16.3,6.06,59.12%
lvmp_percent,11.18,17.8,6.62,59.25%
lvlp_time,4.02,4,0.02,0.61%
lvlp_percent,4.39,4.4,0.01,0.20%
mvhp_time,14.45,14.5,0.05,0.34%
mvhp_percent,15.77,15.8,0.03,0.20%
mvmp_time,11.89,18,6.11,51.38%
mvmp_percent,12.97,19.7,6.73,51.84%
mvlp_time,5.85,5.8,0.05,0.92%
mvlp_percent,6.39,6.3,0.09,1.37%
hvhp_time,7.87,7.9,0.03,0.43%
hvhp_percent,8.58,8.6,0.02,0.20%
hvmp_time,26.52,26.4,0.12,0.47%
hvmp_percent,28.94,28.8,0.14,0.49%
hvlp_time,5.49,11.6,6.11,111.38%
hvlp_percent,5.99,12.7,6.71,112.09%
,,,,
=== RESULTS FOR FILE: 109-CIX.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,71300.05,71379.6,79.55,0.11%
total_time,237.09,237.1,0.01,0.01%
rest_time,70.3,70.3,0,0.00%
first_quartile,329.63,329.6,0.03,0.01%
median_freq,415.31,415.3,0.01,0.00%
third_quartile,493.88,493.9,0.02,0.00%
lvhp_time,28.81,29.2,0.39,1.36%
lvhp_percent,17.27,17.5,0.23,1.31%
lvmp_time,40.79,40.8,0.01,0.02%
lvmp_percent,24.46,24.5,0.04,0.17%
lvlp_time,3.39,3.4,0.01,0.21%
lvlp_percent,2.03,2,0.03,1.68%
mvhp_time,9.6,9.6,0,0.03%
mvhp_percent,5.76,5.8,0.04,0.73%
mvmp_time,53.37,53.4,0.03,0.05%
mvmp_percent,32,32,0,0.00%
mvlp_time,12.08,11.7,0.38,3.17%
mvlp_percent,7.24,7,0.24,3.38%
hvhp_time,8.89,8.9,0.01,0.12%
hvhp_percent,5.33,5.3,0.03,0.55%
hvmp_time,51.94,51.9,0.04,0.09%
hvmp_percent,31.14,31.1,0.04,0.14%
hvlp_time,13.51,13.2,0.31,2.31%
hvlp_percent,8.1,7.9,0.2,2.49%
,,,,
=== RESULTS FOR FILE: 110-CX.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,58226.17,58178.3,47.87,0.08%
total_time,196.04,194,2.04,1.04%
rest_time,52.88,51,1.88,3.55%
first_quartile,329.63,329.6,0.03,0.01%
median_freq,392,392,0,0.00%
third_quartile,466.16,466.2,0.04,0.01%
lvhp_time,28.22,28.2,0.02,0.07%
lvhp_percent,19.71,19.7,0.01,0.06%
lvmp_time,37.71,37.7,0.01,0.03%
lvmp_percent,26.34,26.3,0.04,0.16%
lvlp_time,4.64,4.6,0.04,0.85%
lvlp_percent,3.24,3.2,0.04,1.26%
mvhp_time,9.14,9.1,0.04,0.42%
mvhp_percent,6.38,6.4,0.02,0.26%
mvmp_time,57.55,57.5,0.05,0.09%
mvmp_percent,40.2,40.2,0,0.00%
mvlp_time,6.95,6.9,0.05,0.75%
mvlp_percent,4.86,4.9,0.04,0.90%
hvhp_time,7.4,7.4,0,0.01%
hvhp_percent,5.17,5.2,0.03,0.61%
hvmp_time,61.61,61.6,0.01,0.02%
hvmp_percent,43.04,43,0.04,0.09%
hvlp_time,12.47,12.5,0.03,0.25%
hvlp_percent,8.71,8.7,0.01,0.11%
,,,,
=== RESULTS FOR FILE: 111-CXI.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,90486.57,91584.5,1097.93,1.21%
total_time,280.36,284.2,3.84,1.37%
rest_time,71.41,72.3,0.89,1.25%
first_quartile,349.23,349.2,0.03,0.01%
median_freq,415.31,415.3,0.01,0.00%
third_quartile,480.43,466.2,14.23,2.96%
lvhp_time,49.87,50.3,0.43,0.85%
lvhp_percent,23.87,23.7,0.17,0.71%
lvmp_time,17.22,19.3,2.08,12.11%
lvmp_percent,8.24,9.1,0.86,10.45%
lvlp_time,1.5,1.5,0,0.00%
lvlp_percent,0.72,0.7,0.02,2.49%
mvhp_time,13.7,13.7,0,0.03%
mvhp_percent,6.56,6.5,0.06,0.89%
mvmp_time,67.28,69.2,1.92,2.85%
mvmp_percent,32.2,32.7,0.5,1.55%
mvlp_time,9.17,9.4,0.23,2.50%
mvlp_percent,4.39,4.4,0.01,0.26%
hvhp_time,13.7,13.7,0,0.03%
hvhp_percent,6.56,6.5,0.06,0.89%
hvmp_time,72.81,73.9,1.09,1.50%
